CarID,CarMake,CarModel,CarYear,Category
C001,Hyundai,Santa Fe,2019,SUV
C002,Ford,Explorer,2021,SUV
C003,Kia,Telluride,2023,SUV
C004,BMW,5 Series,2022,Luxury
C005,Audi,A6,2019,Luxury
C006,Audi,A4,2024,Luxury
C007,Nissan,Pathfinder,2019,SUV
C008,Ford,Escape,2020,SUV
C009,Toyota,Highlander,2022,SUV
C010,Hyundai,Tucson,2023,SUV
C011,Chevrolet,Tahoe,2018,SUV
C012,Mercedes,C-Class,2023,Luxury
C013,Nissan,Altima,2024,Sedan
C014,Honda,Accord,2020,Sedan
C015,Nissan,Maxima,2020,Sedan
C016,Ford,F-150,2023,Truck
C017,Audi,Q5,2021,Luxury
C018,Toyota,Prius,2022,SUV
C019,Audi,A8,2022,Sedan
C020,Toyota,RAV4,2021,Sedan
C021,Hyundai,Sonata,2023,SUV
C022,Toyota,Camry,2022,SUV
C023,Hyundai,Kona,2021,Sedan
C024,Kia,Sorento,2021,SUV
C025,Hyundai,Elantra,2022,Sedan
C026,Nissan,Rogue,2021,SUV
C027,Chevrolet,Equinox,2022,SUV
C028,Audi,Q7,2024,Luxury
C029,Mercedes,C-Class,2020,Luxury
C030,Kia,Sorento,2018,SUV
C031,Hyundai,Sonata,2024,Sedan
C032,Kia,Sportage,2023,SUV
C033,Chevrolet,Equinox,2023,SUV
C034,Honda,CR-V,2019,SUV
C035,Ford,F-150,2018,Truck
C036,Ford,Explorer,2023,SUV
C037,Audi,A6,2024,Luxury
C038,Nissan,Sentra,2020,Sedan
C039,Honda,Pilot,2024,SUV
C040,Kia,Sportage,2018,SUV
C041,Audi,A6,2020,Luxury
C042,Mercedes,E-Class,2018,Luxury
C043,Nissan,Sentra,2019,Sedan
C044,Kia,Sorento,2023,SUV
C045,Nissan,Maxima,2024,SUV
C046,Mercedes,GLC,2020,Luxury
C047,Nissan,Pathfinder,2018,SUV
C048,Toyota,Highlander,2019,SUV
C049,Toyota,Highlander,2018,SUV
C050,Mercedes,GLE,2022,Luxury
C051,Kia,Optima,2022,Sedan
C052,Honda,Odyssey,2018,SUV
C053,Kia,Telluride,2022,Sedan
C054,Ford,Mustang,2022,Sedan
C055,BMW,5 Series,2019,Luxury
C056,BMW,X3,2018,Luxury
C057,Kia,Optima,2020,Sedan
C058,Honda,Accord,2023,Sedan
C059,Chevrolet,Tahoe,2021,SUV
C060,Nissan,Maxima,2019,Sedan
C061,Kia,Forte,2018,Sedan
C062,Mercedes,C-Class,2024,Luxury
C063,Ford,F-150,2021,Truck
C064,Toyota,RAV4,2020,SUV
C065,Mercedes,E-Class,2020,Luxury
C066,Hyundai,Santa Fe,2018,SUV
C067,Audi,A8,2018,Luxury
C068,Chevrolet,Equinox,2024,SUV
C069,Ford,Mustang,2024,Sedan
C070,Mercedes,GLE,2018,Luxury
C071,Mercedes,GLE,2024,Luxury
C072,BMW,7 Series,2021,Luxury
C073,BMW,3 Series,2023,Luxury
C074,Nissan,Altima,2020,Sedan
C075,Chevrolet,Tahoe,2020,SUV
C076,Chevrolet,Silverado,2024,Truck
C077,Mercedes,GLC,2018,Luxury
C078,BMW,7 Series,2022,Luxury
C079,Hyundai,Kona,2024,SUV
C080,Kia,Telluride,2020,SUV
C081,Ford,Escape,2023,SUV
C082,Nissan,Rogue,2019,SUV
C083,Kia,Telluride,2024,SUV
C084,Toyota,Corolla,2021,Sedan
C085,Ford,Explorer,2018,SUV
C086,Ford,Escape,2018,SUV
C087,Toyota,Corolla,2024,Sedan
C088,Ford,Escape,2022,SUV
C089,Nissan,Maxima,2023,Sedan
C090,Nissan,Rogue,2022,SUV
C091,Hyundai,Kona,2019,SUV
C092,Nissan,Sentra,2022,Sedan
C093,Mercedes,S-Class,2019,Luxury
C094,Nissan,Pathfinder,2024,SUV
C095,Honda,Civic,2021,Sedan
C096,Toyota,RAV4,2024,SUV
C097,Chevrolet,Equinox,2019,SUV
C098,BMW,3 Series,2021,Luxury
C099,Hyundai,Tucson,2019,SUV
C100,Mercedes,S-Class,2020,Luxury
C101,Toyota,Highlander,2021,SUV
C102,Toyota,Prius,2021,Sedan
C103,Honda,Accord,2018,Sedan
C104,Nissan,Sentra,2021,Sedan
C105,Audi,A6,2021,Luxury
C106,BMW,X3,2019,Luxury
C107,Kia,Sportage,2019,SUV
C108,Honda,Odyssey,2022,SUV
C109,Hyundai,Elantra,2021,Sedan
C110,Chevrolet,Silverado,2022,Truck
C111,Chevrolet,Silverado,2021,Truck
C112,Toyota,Prius,2019,Sedan
C113,BMW,X3,2020,Luxury
C114,Audi,A6,2022,Luxury
C115,Hyundai,Kona,2020,SUV
C116,Toyota,Corolla,2020,Sedan
C117,Kia,Sorento,2022,SUV
C118,Ford,F-150,2019,Truck
C119,BMW,7 Series,2019,Luxury
C120,Ford,Focus,2020,Sedan
C121,Ford,Explorer,2022,SUV
C122,Chevrolet,Malibu,2018,Sedan
C123,Nissan,Altima,2021,Sedan
C124,Honda,Civic,2020,Sedan
C125,Ford,Focus,2024,Sedan
C126,Honda,Accord,2021,Sedan
C127,Kia,Forte,2020,Sedan
C128,Kia,Optima,2019,Sedan
C129,Mercedes,GLC,2019,Luxury
C130,Audi,Q5,2023,Luxury
C131,Kia,Sportage,2020,SUV
C132,Chevrolet,Camaro,2022,Sedan
C133,Mercedes,C-Class,2021,Luxury
C134,Hyundai,Tucson,2024,SUV
C135,Toyota,Highlander,2024,SUV
C136,Audi,A4,2022,Luxury
C137,Hyundai,Sonata,2020,Sedan
C138,BMW,3 Series,2019,Luxury
C139,Chevrolet,Malibu,2021,Sedan
C140,Chevrolet,Tahoe,2019,SUV
C141,Hyundai,Elantra,2020,Sedan
C142,Audi,Q5,2022,Luxury
C143,Ford,Explorer,2020,SUV
C144,Toyota,RAV4,2022,SUV
C145,Honda,CR-V,2021,SUV
C146,Toyota,Camry,2018,Sedan
C147,BMW,7 Series,2020,Luxury
C148,Honda,CR-V,2023,SUV
C149,BMW,5 Series,2023,Luxury
C150,Kia,Forte,2024,Sedan
C151,BMW,7 Series,2018,Luxury
C152,BMW,3 Series,2020,Luxury
C153,Kia,Telluride,2018,SUV
C154,Honda,Civic,2022,Sedan
C155,Mercedes,GLE,2019,Luxury
C156,Ford,Focus,2023,Sedan
C157,Hyundai,Sonata,2018,Sedan
C158,Chevrolet,Malibu,2024,Sedan
C159,Audi,Q7,2020,Luxury
C160,Ford,Explorer,2019,SUV
C161,Kia,Forte,2019,Sedan
C162,Nissan,Rogue,2020,SUV
C163,Toyota,Prius,2024,Sedan
C164,BMW,X3,2022,Luxury
C165,Kia,Sorento,2019,SUV
C166,Toyota,RAV4,2018,SUV
C167,BMW,X5,2018,Luxury
C168,Kia,Optima,2018,Sedan
C169,Audi,Q7,2023,Luxury
C170,Kia,Telluride,2019,SUV
C171,Honda,Odyssey,2024,SUV
C172,Toyota,RAV4,2019,SUV
C173,Nissan,Maxima,2018,Sedan
C174,BMW,3 Series,2024,Luxury
C175,Audi,A8,2020,Luxury
C176,Hyundai,Kona,2018,SUV
C177,Hyundai,Santa Fe,2021,SUV
C178,Mercedes,GLC,2021,Luxury
C179,BMW,5 Series,2018,Luxury
C180,Kia,Sorento,2024,SUV
C181,Honda,Pilot,2023,SUV
C182,Audi,Q7,2018,Luxury
C183,Mercedes,E-Class,2023,Luxury
C184,Kia,Optima,2021,Sedan
C185,Audi,A4,2021,Luxury
C186,BMW,X3,2021,Luxury
C187,BMW,5 Series,2024,Luxury
C188,Kia,Forte,2021,Sedan
C189,Hyundai,Santa Fe,2022,SUV
C190,Chevrolet,Equinox,2018,SUV
C191,Ford,Mustang,2023,Sedan
C192,Kia,Telluride,2021,SUV
C193,Honda,Odyssey,2023,SUV
C194,Hyundai,Kona,2022,SUV
C195,BMW,X5,2019,Luxury
C196,Mercedes,GLC,2024,Luxury
C197,Honda,Civic,2023,Sedan
C198,Audi,A4,2023,Luxury
C199,Honda,CR-V,2024,SUV
C200,Nissan,Pathfinder,2021,SUV
C201,Nissan,Rogue,2023,SUV
C202,Mercedes,S-Class,2024,Luxury
C203,Nissan,Altima,2022,Sedan
C204,Nissan,Rogue,2018,SUV
C205,Mercedes,S-Class,2022,Luxury
C206,Mercedes,S-Class,2018,Luxury
C207,Honda,CR-V,2022,SUV
C208,Ford,Focus,2019,Sedan
C209,Hyundai,Tucson,2021,SUV
C210,Nissan,Pathfinder,2023,SUV
C211,Kia,Forte,2023,Sedan
C212,Toyota,RAV4,2023,SUV
C213,Ford,Escape,2019,SUV
C214,Kia,Optima,2024,Sedan
C215,Mercedes,GLE,2021,Luxury
C216,Hyundai,Sonata,2021,Sedan
C217,Ford,F-150,2024,Truck
C218,Toyota,Highlander,2023,SUV
C219,Chevrolet,Tahoe,2022,SUV
C220,Toyota,Corolla,2019,Sedan
C221,Chevrolet,Silverado,2023,Truck
C222,Honda,Accord,2019,Sedan
C223,BMW,X3,2023,Luxury
C224,BMW,3 Series,2022,Luxury
C225,Mercedes,S-Class,2023,Luxury
C226,BMW,X5,2022,Luxury
C227,Chevrolet,Silverado,2018,Truck
C228,Chevrolet,Camaro,2020,Sedan
C229,Honda,Odyssey,2019,SUV
C230,Honda,Accord,2022,Sedan
C231,Mercedes,GLE,2020,Luxury
C232,Ford,Focus,2021,Sedan
C233,BMW,X5,2020,Luxury
C234,Nissan,Altima,2019,Sedan
C235,Audi,A6,2018,Luxury
C236,Toyota,Prius,2023,Sedan
C237,BMW,5 Series,2021,Luxury
C238,Mercedes,C-Class,2018,Luxury
C239,Toyota,Corolla,2023,Sedan
C240,BMW,X5,2021,Luxury
C241,Audi,A8,2019,Luxury
C242,Chevrolet,Equinox,2021,SUV
C243,Kia,Sportage,2024,SUV
C244,Mercedes,GLE,2023,Luxury
C245,Audi,A8,2023,Luxury
C246,Honda,Civic,2024,Sedan
C247,Ford,Mustang,2021,Sedan
C248,Ford,Mustang,2020,Sedan
C249,Nissan,Altima,2018,Sedan
C250,Chevrolet,Malibu,2023,Sedan
C251,Ford,F-150,2020,Truck
C252,Audi,A8,2024,Luxury
C253,Chevrolet,Camaro,2023,Sedan
C254,Audi,Q7,2021,Truck
C255,Audi,Q7,2022,Luxury
C256,Mercedes,GLC,2023,Luxury
C257,Chevrolet,Malibu,2020,Sedan
C258,Hyundai,Elantra,2024,Sedan
C259,Hyundai,Elantra,2018,Sedan
C260,Honda,Civic,2019,Sedan
C261,Mercedes,C-Class,2019,Luxury
C262,Hyundai,Tucson,2022,SUV
C263,Ford,Mustang,2018,Sedan
C264,Mercedes,GLC,2022,Luxury
C265,Mercedes,E-Class,2022,Luxury
C266,Toyota,Prius,2020,Sedan
C267,Kia,Sportage,2022,SUV
C268,Ford,Focus,2018,Sedan
C269,Toyota,Corolla,2022,Sedan
C270,Ford,Focus,2022,Sedan
C271,Mercedes,C-Class,2022,Luxury
C272,BMW,3 Series,2018,Luxury
C273,Mercedes,E-Class,2024,Luxury
C274,Hyundai,Sonata,2019,Sedan
C275,Kia,Forte,2022,Sedan
C276,Chevrolet,Silverado,2019,Truck
C277,Toyota,Camry,2023,Sedan
C278,Kia,Optima,2023,Sedan
C279,BMW,5 Series,2020,Luxury
C280,Honda,Pilot,2019,SUV
C281,BMW,7 Series,2023,Luxury
C282,Hyundai,Santa Fe,2023,SUV
C283,Toyota,Camry,2024,Sedan
C284,BMW,X3,2024,Luxury
C285,Toyota,Corolla,2018,Sedan
C286,Honda,Pilot,2018,SUV
C287,Audi,Q7,2019,Luxury
C288,Hyundai,Tucson,2018,SUV
C289,Nissan,Rogue,2024,SUV
C290,Audi,A4,2019,Luxury
C291,Honda,Civic,2018,Sedan
C292,Chevrolet,Camaro,2019,Sedan
C293,Ford,Escape,2024,SUV
C294,Honda,CR-V,2018,SUV
C295,Nissan,Altima,2023,Sedan
C296,Hyundai,Elantra,2023,Sedan
C297,Mercedes,E-Class,2019,Luxury
C298,Honda,CR-V,2020,SUV
C299,Hyundai,Tucson,2020,SUV
C300,Audi,Q5,2018,Luxury
C301,BMW,X5,2023,Luxury
C302,Audi,Q5,2020,Luxury
C303,Toyota,Highlander,2020,SUV
C304,Honda,Pilot,2020,SUV
C305,Audi,Q5,2019,Luxury
C306,Hyundai,Sonata,2022,Sedan
C307,Nissan,Sentra,2024,Sedan
C308,Kia,Sportage,2021,SUV
C309,Mercedes,S-Class,2021,Luxury
C310,Toyota,Camry,2020,Sedan
C311,Hyundai,Kona,2023,SUV
C312,Nissan,Sentra,2023,Sedan
C313,Kia,Sorento,2020,SUV
C314,BMW,7 Series,2024,Luxury
C315,Chevrolet,Malibu,2022,Sedan
C316,Ford,Explorer,2024,SUV
C317,Audi,A6,2023,Luxury
C318,Honda,Pilot,2022,SUV
C319,Chevrolet,Silverado,2020,Truck
C320,Ford,Escape,2021,SUV
C321,Nissan,Maxima,2022,Sedan
C322,Nissan,Pathfinder,2022,SUV
C323,Ford,Mustang,2019,Sedan
C324,Toyota,Camry,2021,Sedan
C325,Honda,Odyssey,2021,SUV
C326,Nissan,Sentra,2018,Sedan
C327,Audi,A8,2021,Luxury
C328,Audi,Q5,2024,Luxury
C329,Honda,Accord,2024,Sedan
C330,Hyundai,Elantra,2019,Sedan
C331,Honda,Odyssey,2020,SUV
C332,Honda,Pilot,2021,SUV
C333,Nissan,Maxima,2021,Sedan
C334,Chevrolet,Tahoe,2023,SUV
C335,Chevrolet,Camaro,2018,Sedan
C336,Audi,A4,2018,Luxury
C337,Toyota,Prius,2018,Sedan
C338,Chevrolet,Camaro,2021,Sedan
C339,Audi,A4,2020,Luxury
C340,Chevrolet,Tahoe,2024,SUV
C341,Chevrolet,Equinox,2020,SUV
C342,Mercedes,E-Class,2021,Luxury
C343,BMW,X5,2024,Luxury
C344,Chevrolet,Camaro,2024,Sedan
C345,Nissan,Pathfinder,2020,SUV
C346,Hyundai,Santa Fe,2020,SUV
C347,Hyundai,Santa Fe,2024,SUV
C348,Toyota,Camry,2019,Sedan
C349,Chevrolet,Malibu,2019,Sedan
C350,Ford,F-150,2022,Truck
